2024-06-17 16:26:47.030 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:50.475 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:50.525 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73cf8b20> is not in list
2024-06-17 16:26:50.594 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:50.618 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:50.620 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:50.625 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:50.675 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b86d51b80> is not in list
2024-06-17 16:26:50.753 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:50.777 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:50.779 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:50.782 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:50.834 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b786c8640> is not in list
2024-06-17 16:26:50.912 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:50.940 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:50.941 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:50.945 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:51.007 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7826d400> is not in list
2024-06-17 16:26:51.082 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:51.106 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:51.108 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:51.112 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:51.169 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78cce8e0> is not in list
2024-06-17 16:26:51.467 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:51.752 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:51.754 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:51.758 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:52.011 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b788e6a30> is not in list
2024-06-17 16:26:52.091 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:52.114 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:52.115 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:52.118 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:52.194 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73619700> is not in list
2024-06-17 16:26:52.474 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:52.499 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:52.500 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:52.505 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:52.576 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7388a910> is not in list
2024-06-17 16:26:52.657 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:52.676 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:52.677 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:52.680 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:52.739 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7373b7c0> is not in list
2024-06-17 16:26:52.819 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:52.845 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:52.847 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:52.851 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:52.907 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b786c85e0> is not in list
2024-06-17 16:26:53.182 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:53.202 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:53.204 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:53.208 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:53.263 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b786c85e0> is not in list
2024-06-17 16:26:53.342 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:53.363 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:53.365 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:53.368 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:53.425 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73c5ed90> is not in list
2024-06-17 16:26:53.505 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:53.536 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:53.538 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:53.543 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:53.594 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78c37ee0> is not in list
2024-06-17 16:26:53.671 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:53.695 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:53.696 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:53.699 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:53.764 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7826db80> is not in list
2024-06-17 16:26:53.837 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:53.859 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:53.860 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:53.863 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:53.925 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7826db80> is not in list
2024-06-17 16:26:54.003 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:54.024 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:54.026 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:54.030 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:54.083 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7826db80> is not in list
2024-06-17 16:26:54.161 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:54.183 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:54.184 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:54.187 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:54.246 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7826db80> is not in list
2024-06-17 16:26:54.336 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:54.358 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:54.360 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:54.363 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:54.413 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78cce7f0> is not in list
2024-06-17 16:26:54.487 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:54.513 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:54.514 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:54.517 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:54.579 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b788efbe0> is not in list
2024-06-17 16:26:54.659 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:54.682 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:54.683 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:54.686 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:54.737 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b781ada60> is not in list
2024-06-17 16:26:54.805 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:54.825 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:54.826 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:54.830 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:54.889 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b784ae1f0> is not in list
2024-06-17 16:26:54.964 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:54.990 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:54.991 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:54.995 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:55.048 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b786c8f10> is not in list
2024-06-17 16:26:55.118 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:55.139 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:55.140 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:55.143 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:55.193 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b739de490> is not in list
2024-06-17 16:26:55.266 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:55.290 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:55.292 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:55.296 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:55.362 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b786c8100> is not in list
2024-06-17 16:26:55.441 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:55.464 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:55.466 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:55.469 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:55.530 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b788e61f0> is not in list
2024-06-17 16:26:55.619 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:55.645 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:55.646 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:55.650 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:55.699 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73e8f040> is not in list
2024-06-17 16:26:55.777 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:55.800 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:55.802 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:55.806 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:55.858 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73d1c3a0> is not in list
2024-06-17 16:26:55.941 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:55.959 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:55.961 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:55.964 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:56.018 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78c94250> is not in list
2024-06-17 16:26:56.093 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:56.113 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:56.114 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:56.117 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:56.170 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78c94250> is not in list
2024-06-17 16:26:56.243 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:56.269 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:56.270 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:56.273 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:56.333 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b782298e0> is not in list
2024-06-17 16:26:56.412 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:56.435 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:56.436 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:56.440 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:56.488 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73ed5c10> is not in list
2024-06-17 16:26:56.565 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:56.589 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:56.591 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:56.594 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:56.646 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b784b3d00> is not in list
